"","n_chars","n_charsperword","scrabblescore","maxchars","Flesch","Flesch.Kincaid","Spache","SMOG","Scrabble","FOG"
"1",814,4.52777777777778,1327,11,78.8916474133601,6.34329482672024,4.28093922651934,8.84184627477888,1.6861499364676,9.01275740833752
"2",769,4.52941176470588,1232,12,78.7614635108481,5.07263905325444,3.81753293885602,7.79353780106456,1.72791023842917,6.87353057199211
"3",743,4.45508982035928,1170,14,78.0296103896104,6.16993506493506,4.60580952380952,9.09586888349892,1.68103448275862,8.96623376623377
"4",746,4.52727272727273,1169,13,67.5639401197605,12.133005988024,6.95908263473054,8.23873560344571,1.63955119214586,14.3180838323353
"5",577,3.90540540540541,911,12,80.9369668874172,9.47276821192053,4.8019417218543,5.68391780172285,1.67155963302752,12.3449006622517
"6",757,4.6219512195122,1236,13,55.5214723926381,11.3000175284838,6.19313584574934,12.7854036406277,1.68852459016393,14.2222611744084
"7",853,4.90804597701149,1450,19,58.1950741525424,10.63875,6.34742443502825,12.1617449614717,1.75,13.3697740112994
"8",760,4.39884393063584,1260,13,66.9361016949153,10.2047619047619,5.84964487489911,11.2081432601887,1.72093023255814,13.2781275221953
"9",741,4.52439024390244,1207,10,79.1675515895148,5.89829336307864,4.16242944785276,8.84184627477888,1.7,8.62665923034021
"10",839,4.35233160621762,1418,14,72.332806122449,9.25683673469388,5.38064285714286,9.51614450430714,1.74384236453202,11.8408163265306
"11",920,4.92513368983957,1578,15,35.3544193548387,17.5696129032258,8.11396344086022,17.5813319383547,1.74944567627494,21.7617204301075
"12",719,4.5,1188,14,67.8391900937082,8.37923694779117,5.31125970548862,12.0608183863652,1.72383720930233,12.6789825970549
"13",896,4.72105263157895,1486,14,57.7766492146597,11.9791772625281,6.27889603590127,13.4843320109209,1.69828571428571,15.7310396409873
"14",883,4.42,1490,12,78.5854137353434,5.59405025125628,3.78888978224456,9.3871,1.73659673659674,8.92475711892797
"15",789,4.34065934065934,1321,16,83.3833333333334,5.52106382978723,3.77594326241135,7.79353780106456,1.74372523117569,7.96879432624114
"16",735,4.25433526011561,1227,13,68.4275757575758,11.0022727272727,5.32651515151515,10.1257567015968,1.72292545710267,13.7787878787879
"17",758,4.21666666666667,1275,11,80.69,5.73111111111111,3.97733333333333,7.79353780106456,1.73705722070845,7.77777777777778
"18",738,4.15168539325843,1316,10,12.3329237288136,33.525,12.386709039548,12.1617449614717,1.82019363762102,36.5299435028249
"19",806,4.43406593406593,1335,19,63.3482504363002,12.3318062827225,6.2710427574171,12.1617449614717,1.72279792746114,15.8746945898778
"20",783,4.40449438202247,1259,14,68.9294642857143,9.29678571428571,5.39416758241758,9.1883824451415,1.66622516556291,11.078021978022
"21",636,4.08333333333333,1027,12,77.2469339622642,9.06827044025157,4.6906572327044,8.3441,1.68360655737705,11.8578616352201
"22",773,4.22950819672131,1312,12,32.3033882783883,23.8249450549451,9.44142490842491,10.5042237277757,1.73544973544974,25.3655677655678
"23",825,4.17171717171717,1379,13,75.7305935929649,8.87607412060302,5.3583222361809,8.84184627477888,1.71517412935323,11.558040201005
"24",795,4.88343558282209,1388,12,50.5442689161554,12.9583742331288,6.20997034764826,13.8166696488959,1.78865979381443,16.0200408997955
"25",825,4.80232558139535,1337,12,49.935640655106,13.4573121387283,6.7547697495183,14.0681762864147,1.67839195979899,16.6200385356455
"26",706,4.4746835443038,1162,15,66.0610828025478,9.61701546860783,4.93973612374886,10.6088406372146,1.69387755102041,12.0287534121929
"27",683,4.8169014084507,1105,14,56.5091079812207,11.2569014084507,6.0635117370892,11.5380348314754,1.66165413533835,13.1286384976526
"28",743,4.27586206896552,1226,12,62.6551724137931,11.7245977011494,5.81742528735632,11.5380348314754,1.69806094182825,14.5885057471264
"29",763,4.34090909090909,1275,11,52.4670127118644,16.9341666666667,7.40308050847458,12.6026179579711,1.72764227642276,20.1858757062147
"30",769,4.52941176470588,1348,13,73.1012641204949,6.87992469069392,4.84699408284024,9.3395099557261,1.81182795698925,9.22237762237762
"31",740,4.28323699421965,1272,12,81.6828879310345,7.26951149425288,4.51603735632184,7.16862163009434,1.78762306610408,9.61954022988506
"32",671,4.07272727272727,1096,11,86.055394665215,5.02791507893305,3.37983233532934,7.34824273929497,1.70826833073323,7.50985302123027
"33",686,4.1890243902439,1133,13,86.7162737127371,5.69105691056911,4.41388888888889,5.82211442006289,1.73506891271057,7.77669376693767
"34",863,4.34170854271357,1389,14,65.4955681818182,10.272601010101,5.3517297979798,9.82788878977387,1.67349397590361,12.1222222222222
"35",656,4.43918918918919,1094,11,54.9858367346939,12.8936870748299,6.11299863945578,13.6628836507116,1.69088098918083,16.3858503401361
"36",634,4.34931506849315,1027,12,82.8509760273973,6.23708904109589,3.65355136986301,6.62742835079842,1.67536704730832,8.12191780821918
"37",623,4.07843137254902,1042,10,90.9555980861244,4.00566985645933,3.356,7.34824273929497,1.77210884353742,7.10622009569378
"38",773,3.98969072164948,1347,10,89.9610786622704,5.07034385303815,3.80168911917098,6.11248444174946,1.83514986376022,7.63994347621291
"39",757,4.0752688172043,1214,12,95.3927472527473,3.56571428571429,3.24249247049247,5.36982344086939,1.70745428973277,6.23866503866504
"40",612,4.08666666666667,1058,8,84.5937122483222,6.08717281879195,3.90322902684564,5.98547313738944,1.79018612521151,7.98691275167785
"41",615,4,1016,10,92.1525735294118,3.57334967320262,2.7376977124183,5.98547313738944,1.73972602739726,5.8843137254902
"42",641,4.08917197452229,1073,10,81.1765384615385,7.47322344322344,4.35428937728938,7.44753027036445,1.71405750798722,9.93992673992674
"43",556,3.7891156462585,992,9,98.3330448318805,2.84115815691158,3.05130136986301,3.1291,1.85074626865672,5.30909090909091
"44",776,4.2,1275,14,82.8791216216216,6.29527027027027,4.40452702702703,7.55417423666541,1.67322834645669,8.6972972972973
"45",823,4.43010752688172,1408,12,74.6477702702703,7.44337837837838,4.49317567567568,9.3871,1.76441102756892,9.9945945945946
"46",674,4.56081081081081,1056,14,74.8477477477478,5.88351351351351,4.36754954954955,8.84184627477888,1.62962962962963,8.17657657657658
"47",692,4.22560975609756,1216,14,85.1639853626081,5.99037924151697,4.08266533599468,6.42735559955562,1.82008995502249,8.14078509647372
"48",905,4.57575757575758,1541,13,55.2410227272727,11.702904040404,5.64162878787879,12.815532586355,1.74914869466515,14.5464646464646
"49",677,4.29113924050633,1084,12,74.1262249827467,7.36430641821946,4.80989095928226,8.51512884012578,1.68167701863354,9.14313319530711
"50",681,4.70344827586207,1197,17,62.3294144144144,10.6935135135135,5.85988288288288,10.5042237277757,1.84413580246914,12.5693693693694
"51",731,3.95675675675676,1186,12,72.0521545768567,11.2005958549223,5.61334283246978,8.3441,1.69627507163324,13.9029360967185
"52",784,4.48571428571429,1267,13,62.3743174603175,9.38990476190476,5.26092063492063,11.8554640767504,1.64759427828349,12.5777777777778
"53",701,4.80821917808219,1273,15,59.9239041095891,10.0826418786693,5.59778277886497,12.0317720707886,1.86383601756955,13.0003913894325
"54",878,4.80327868852459,1471,13,55.561137295082,11.1924521857924,6.29463456284153,13.0238667986669,1.71245634458673,14.3959016393443
"55",714,4.58333333333333,1227,11,72.0060573476703,7.49440860215054,4.75321146953405,9.1508633076478,1.76801152737752,9.46953405017921
"56",735,4.13483146067416,1223,12,82.9969713993872,5.70293156281921,3.72261797752809,8.00094639256281,1.73968705547653,8.27048008171604
"57",693,4.3375,1146,11,69.3837735849057,9.22454627133872,4.79988140161725,10.6088406372146,1.71044776119403,12.1045822102426
"58",813,4.19587628865979,1346,13,84.4827884615385,5.51262820512821,3.63448076923077,8.07648339933343,1.73230373230373,8.34615384615384
"59",888,4.55897435897436,1465,23,41.5513362068966,20.0714655172414,8.49630172413793,13.0238667986669,1.70116279069767,22.6645320197044
"60",745,3.90575916230366,1248,11,73.9786169284468,10.8490837696335,5.41240401396161,8.3441,1.71664374140303,13.7804537521815
"61",684,4.28125,1120,13,41.6547648261759,20.9472392638037,8.94376278118609,13.5591,1.69393939393939,24.1873210633947
"62",759,4,1315,12,53.0951315789474,17.6539473684211,7.83071052631579,11.2081432601887,1.79890560875513,20.6842105263158
"63",711,4,1145,14,57.9087220670391,16.2993715083799,7.17319134078212,10.1257567015968,1.69128508124077,19.240782122905
"64",706,4.25903614457831,1150,13,54.1209337349398,16.0203012048193,7.21182530120482,11.2081432601887,1.67883211678832,18.5277108433735
"65",822,4.28645833333333,1391,10,63.9776963350785,11.1142557965595,5.5490531039641,10.9142608846574,1.75188916876574,13.636798803291
"66",699,4.51612903225806,1099,13,81.0955694305694,4.89103896103896,3.37030669330669,7.88239221940719,1.66012084592145,7.07612387612388
"67",901,5.0391061452514,1497,17,54.3889583333334,11.5422685185185,6.38111706349206,12.6026179579711,1.71889400921659,14.1060846560847
"68",722,4.38181818181818,1232,10,70.4762804878049,8.52207317073171,4.8895,9.82788878977387,1.77521613832853,10.8829268292683
"69",887,4.60103626943005,1420,11,82.4549291237114,4.7707087628866,3.60550644329897,7.41365970608416,1.69653524492234,6.70567010309278
"70",840,4.44973544973545,1349,15,76.3331878999418,7.88457242582897,5.15882606166376,7.79353780106456,1.74385510996119,9.74543339150669
"71",893,4.85869565217391,1433,11,73.0087090163935,6.86460382513662,4.74468715846995,8.59863814320734,1.73486682808717,8.50437158469945
"72",858,4.38265306122449,1456,15,57.2591818181818,15.1105656565657,7.18999393939394,7.55417423666541,1.76058041112455,16.4460606060606
"73",879,4.55958549222798,1425,13,58.704375,11.8852678571429,5.85702380952381,12.2898739847679,1.70250896057348,14.7214285714286
